  3.5  7.0  14.0  21.0  28.0
-30.0-30.0 -30.0 -30.0 -30.0
-19.6-19.6 -16.4 -16.4 -16.4
-13.6-13.6 -10.4 -10.4 -10.4
-10.1-10.1  -7.0  -7.0  -7.0
 -7.7 -7.7  -4.6  -4.6  -4.6
 -5.8 -5.8  -2.8  -2.8  -2.8
 -4.3 -4.3  -1.3  -1.3  -1.3
 -3.0 -3.0  -0.1  -0.1  -0.1
 -2.0 -2.0   0.8   0.8   0.8
 -1.0 -1.0   1.7   1.7   1.7
 -0.2 -0.2   2.4   2.4   2.4
  0.5  0.5   3.0   3.0   3.0
  1.2  1.2   3.6   3.6   3.6
  1.8  1.8   4.0   4.0   4.0
  2.3  2.3   4.4   4.4   4.4
  2.8  2.8   4.8   4.8   4.8
  3.2  3.2   5.1   5.1   5.1
  3.6  3.6   5.3   5.3   5.3
  3.9  3.9   5.5   5.5   5.5
  4.3  4.3   5.7   5.7   5.7
  4.6  4.6   5.8   5.8   5.8
  4.9  4.9   6.0   6.0   6.0
  5.1  5.1   6.0   6.0   6.0
  5.3  5.3   6.1   6.1   6.1
  5.5  5.5   6.1   6.1   6.1
  5.7  5.7   6.2   6.2   6.2
  5.9  5.9   6.2   6.2   6.2
  6.1  6.1   6.2   6.2   6.2
  6.2  6.2   6.2   6.2   6.2
  6.4  6.4   6.1   6.1   6.1
  6.5  6.5   6.1   6.1   6.1
  6.6  6.6   6.0   6.0   6.0
  6.7  6.7   6.0   6.0   6.0
  6.8  6.8   5.9   5.9   5.9
  6.9  6.9   5.9   5.9   5.9
  6.9  6.9   5.8   5.8   5.8
  7.0  7.0   5.8   5.8   5.8
  7.0  7.0   5.7   5.7   5.7
  7.1  7.1   5.7   5.7   5.7
  7.1  7.1   5.6   5.6   5.6
  7.2  7.2   5.6   5.6   5.6
  7.2  7.2   5.5   5.5   5.5
  7.2  7.2   5.5   5.5   5.5
  7.2  7.2   5.5   5.5   5.5
  7.2  7.2   5.5   5.5   5.5
  7.2  7.2   5.5   5.5   5.5
